code;product;quantity;cost
14870000-70;HG 14 870 000 Talis S² Variarc 70° Смеситель для кухни 272 мм, ∩ излив Мануфактура;1;0
14870800;HG 14 870 800 Talis S² Variarc Смеситель для кухни 272 мм, ∩ излив;1;310.85
14872000;HG 14 872 000 Talis S² Variarc Смеситель для кухни 260 мм, с выдвижным ∩ изливом;7;351.18
14877000;HG 14 877 000 Talis S² Variarc Смеситель для кухни 236 мм, с выдвижным ∩ изливом;4;415.07
14883000;HG 14 883 000 Metris Select Смеситель для кухни 307 мм, Г-излив;3;369.19
14883800;HG 14 883 800 Metris Select Смеситель для кухни 307 мм, Г-излив;2;470.36
14884000;HG 14 884 000 Metris Select Смеситель для кухни 333 мм, с выдвижным изливом;2;428.29
14884800;HG 14 884 800 Metris Select Смеситель для кухни 333 мм, с выдвижным изливом;1;556.75
15063000;HG 15 063 000 PuraVida Смеситель для раковины 101 мм, на 3 отв., со сливным гарнитуром, Комплект;2;798.29
15063400;*СНЯТ*HG 15 063 400 PuraVida Смеситель для раковины 101 мм, на 3 отв., со слив. гарн., Комплект;2;667.56
15066400;*СНЯТ*HG 15 066 400 PuraVida Смеситель для раковины 241 мм, Push-Open;4;499.15
15070000;HG 15 070 000 PuraVida Смеситель для раковины 113 мм, Push-Open;3;375.9
15070400;HG 15 070 400 PuraVida Смеситель для раковины 113 мм, Push-Open;5;375.9
15072000;HG 15 072 000 PuraVida Смеситель для раковины 241 мм, Push-Open 1¼;4;576.72
15072400;HG 15 072 400 PuraVida Смеситель для раковины 241 мм, Push-Open 1¼;2;576.72
15073000;HG 15 073 000 PuraVida Смеситель для раковины 101 мм, на 3 отв., Push-Open 1¼, Комплект;2;771.27
15073400;HG 15 073 400 PuraVida Смеситель для раковины 101 мм, на 3 отв., Push-Open 1¼, Комплект;3;778.52
15074000;HG 15 074 000 PuraVida Смеситель для раковины 113 мм, со сливным гарнитуром;4;375.9
15074400;HG 15 074 400 PuraVida Смеситель для раковины 113 мм, со сливным гарнитуром;2;379.43
15075000;HG 15 075 000 PuraVida Смеситель для раковины 100 мм, Push-Open 1¼;1;362.97
15081000;HG 15 081 000 PuraVida Смеситель для раковины 192 мм, Push-Open 1¼;4;444.75
15081400;HG 15 081 400 PuraVida Смеситель для раковины 192 мм, Push-Open 1¼;3;448.86
15084400;HG 15 084 400 PuraVida Смеситель для раковины 165 мм, настенный (внешняя монтажная часть);8;465.2
15085000;HG 15 085 000 PuraVida Смеситель для раковины 225 мм, настенный (внешняя монтажная часть);3;489.13
15170000;HG 15 170 000 PuraVida Смеситель для раковины 131 мм, электронный, со смешиванием, 6V, 5 л/мин;6;715.3
15170400;HG 15 170 400 PuraVida Смеситель для раковины 131 мм, электронный, со смешиванием, 6V, 5 л/мин;2;715.3
15172400;*СНЯТ*HG 15 172 400 PuraVida Смеситель для раковины 131 мм, электронный, со смешиванием, от сети;1;677.67
15173000;HG 15 173 000 PuraVida Смеситель для раковины 131 мм, электронный, без регулирвки t°, 220 V;4;632.92
15270400;HG 15 270 400 PuraVida Смеситель для биде со сливным гарнитуром;2;427.8
15275400;HG 15 275 400 PuraVida Смеситель для раковины 113 мм, с гигиеническим душем, Push-Open;3;468.41
15310180;HG 15 310 180 ReinSelect Скрытая монтажная часть термостата на 2 потребителя;4;582.67
15311180;HG 15 311 180 ReinSelect Скрытая монтажная часть термостата на 3 потребителя;4;679.85
15312180;HG 15 312 180 ReinSelect Скрытая монтажная часть термостата на 4 потребителя;3;776.9
15314180;HG 15 314 180 ReinSelect Скрытая монтажная часть термостата на 2 потребителя (с изливом);5;776.9
15355000;HG 15 355 000 ReinSelect Термостат на 2 потребителя (внешняя монтажная часть);2;1097.53
15356400;HG 15 356 400 RainSelect Термостат на 3 потребителя (внешняя монтажная часть);5;1297.15
15357000;HG 15 357 000 ReinSelect Термостат на 4 потребителя (внешняя монтажная часть);3;1496.74
15357400;HG 15 357 400 ReinSelect Термостат на 4 потребителя (внешняя монтажная часть);1;1496.74
15358400;HG 15 358 400 ReinSelect Термостат на 5 потребителей (внешняя монтажная часть);1;1696.25
15359000;HG 15 359 000 ReinSelect Термостат на 2 потребителя, с изливом (внешняя монтажная часть);1;1297.15
15359400;HG 15 359 400 ReinSelect Термостат на 2 потребителя, с изливом (внешняя монтажная часть);1;1297.15
15412400;HG 15 412 400 PuraVida Излив для ванны 196 мм, ¾;3;251.83
15432400;HG 15 432 400 PuraVida Смеситель для ванны на 3 отверстия (внешняя монтажная часть);1;909.71
15445000;HG 15 445 000 PuraVida Смеситель для ванны (внешняя монтажная часть);4;382.41
15445400;HG 15 445 400 PuraVida Смеситель для ванны (внешняя монтажная часть);3;382.41
15446000;HG 15 446 000 PuraVida Смеситель для ванны на 4 отверстия (внешняя монтажная часть);2;901.35
15447000;HG 15 447 000 PuraVida Смеситель для ванны (внешняя монтажная часть);2;530.05
15447400;HG 15 447 400 PuraVida Смеситель для ванны (внешняя монтажная часть);6;512.11
15448400;*СНЯТ*HG 15 448 400 PuraVida Смеситель для раковины 145 мм, на 3 отв. (внешняя монтажная часть);2;717.76
15465180;*СНЯТ*HG 15 465 180 Скрытая монтажная часть для термостата для ванны на 4 отв.;1;1377.13
15472000;HG 15 472 000 PuraVida Смеситель для ванны;3;684.68
15473000;HG 15 473 000 PuraVida Смеситель для ванны напольный (внешняя монтажная часть);4;1937.74
15473400;HG 15 473 400 PuraVida Смеситель для ванны напольный (внешняя монтажная часть);1;1937.74
15610810;*СНЯТ*HG 15 610 810 Mondial Смеситель для душа;1;444.0
15665400;HG 15 665 400 PuraVida Смеситель для душа (внешняя монтажная часть);2;337.11
15672000;HG 15 672 000 PuraVida Смеситель для душа;6;550.0
15672400;HG 15 672 400 PuraVida Смеситель для душа (бел./хр.);2;550.0
15677000;HG 15 677 000 PuraVida Смеситель для душа (внешняя монтажная часть) Highflow - 49 л/мин;5;337.11
15677400;HG 15 677 400 PuraVida Смеситель для душа (внешняя монтажная часть) Highflow - 49 л/мин;6;337.11
15700000;*СНЯТ*HG 15 700 000 Ecostat E Термостат для 1 потребителя (внешняя монтажная часть);4;461.11
15701000;HG 15 701 000 Ecostat Термостат для одного потребителя (внешняя монтажная часть);3;519.41
15705000;HG 15 705 000 Ecostat E Термостат центральный 37,9 л/мин (внешняя монтажная часть);3;205.24
15706000;HG 15 706 000 Ecostat E Термостат центральный, Highflow 59 л/мин (внешняя монтажная часть);4;333.41
15707000;HG 15 707 000 Ecostat E Термостат для одного потребителя (внешняя монтажная часть);2;333.41
15708000;HG 15 708 000 Ecostat E Термостат для 2х потребителей (внешняя монтажная часть);10;374.36
15710000;*СНЯТ*HG 15 710 000 Ecostat E Термостат центральный (внешняя монтажная часть);2;253.86
15711000;HG 15 711 000 Ecostat S Термостат центральный 43 л/мин (внешняя монтажная часть);2;427.31
15712000;HG 15 712 000 Ecostat Square Термостат для 1 потребителя (внешняя монтажная часть);2;342.03
15714000;HG 15 714 000 Ecostat Square Термостат для 2х потребителя (внешняя монтажная часть);4;384.06
15721000;HG 15 721 000 Ecostat S Термостат для 2х потребителей (внешняя монтажная часть);6;596.11
15734400;HG 15 734 400 ShowerSelect Glass Термостат центральный (внеш. монт. часть) Highflow, 42 л/мин;4;425.37
15735400;HG 15 735 400 ShowerSelect Glass Термостат с отд. выводом д/ручного душа Highflow, (внеш. м. ч.);2;585.55
15735600;HG 15 735 600 ShowerSelect Glass Термостат с отд. выводом д/ручного душа Highflow, (внеш. м. ч.);1;585.55
15736400;HG 15 736 400 ShowerSelect Glass Модуль с тремя запорными клап., белый/хром (внеш.монт.часть);3;425.37
15736600;HG 15 736 600 ShowerSelect Glass Модуль с тремя запорными клап., черный/хром (внеш.монт.часть);1;425.37
15737400;HG 15 737 400 ShowerSelect Glass Термостат для одного потребителя, белый/хром (внеш. монт.часть);3;585.55
15737600;HG 15 737 600 ShowerSelect Glass Термостат для одного потребителя, черный/хром (внеш.монт.часть);1;585.55
15741000;HG 15 741 000 ShowerSelect S Термостат центральный, Highflow 42 л/мин (внеш. монт. часть);2;342.15
15742000;HG 15 742 000 ShowerSelect S Термостат для 1 потребителя, Highflow, 59 л/мин (внеш. монт. часть);1;472.99
15743000;HG 15 743 000 ShowerSelect S Термостат для 2х потребителей (внешняя монтажная часть);10;515.77
15744000;HG 15 744 000 ShowerSelect S Термостат для 1 потребителя (внешняя монтажная часть);2;473.57
15748000;HG 15 748 000 ShowerSelect S Смеситель для 2х потребителей (внешняя монтажная часть);5;436.84
15753000;*СНЯТ*HG 15 753 000 Ecostat Classic Термостат для 1 потребителя (внешняя монтажная часть);2;574.34
15754000;*СНЯТ*HG 15 754 000 Ecostat Classic Термостат центральный (внешняя монтажная часть);2;333.39
15755000;HG 15 755 000 Ecostat S Термостат центральный 37 л/мин (внешняя монтажная часть);6;205.24
15756000;HG 15 756 000 Ecostat S Термостат центральный Highflow, 59 л/мин (внешняя монтажная часть);2;333.41
15757000;HG 15 757 000 Ecostat S Термостат для 1 потребителя (внешняя монтажная часть);3;333.41
15758000;HG 15 758 000 Ecostat S Термостат для 2х потребителей (внешняя монтажная часть);10;374.36
15760000;HG 15 760 000 ShowerSelect Термостат центральный Highflow, 42 л/мин;5;342.15
15761000;HG 15 761 000 ShowerSelect Термостат для 1 потребителя, Highflow (внешняя монт. часть);7;473.57
15762000;HG 15 762 000 ShowerSelect Термостат для 1 потребителя (внешняя монтажная часть);1;473.57
15763000;HG 15 763 000 ShowerSelect Термостат для 2х потребителей (внешняя монтажная часть);9;515.77
15764000;HG 15 764 000 ShowerSelect Запорно-переключающее устройство на 3 потребителя (внеш. монт. часть;10;342.15
15765000;HG 15 765 000 ShowerSelect Термостат для 2х потр., со встр. подкл. душ. шл., с держ. (внеш. мон;8;631.57
15767000;HG 15 767 000 ShowerSelect Смеситель для душа (внешняя монтажная часть);1;381.3
15770000;*СНЯТ*HG 15 770 000 Puravida Термостат центральный, 43 л/мин (внешняя монтажная часть);3;620.64
15770400;*СНЯТ*HG 15 770 400 Puravida Термостат центральный, 43 л/мин (внешняя монтажная часть);1;621.27
15771000;HG 15 771 000 PuraVida Термостат для 2х потребителей (внешняя монтажная часть);1;1051.38
15771400;HG 15 771 400 PuraVida Термостат для 2х потребителей (внешняя монтажная часть);3;1051.38
15772000;HG 15 772 000 PuraVida Термостат центральный HighFlow (внешняя монтажная часть);1;807.29
15777000;HG 15 777 000 PuraVida iControl Запорный/переключающий вентиль на 3 потр. (внешняя монт. часть);1;378.47
15787000;HG 15 787 000 PuraVida для раковины ДК;4;255.75
15787400;HG 15 787 400 PuraVida для раковины ДК;2;66.68
15805000;*СНЯТ*HG 15 805 000 PuraVida Смеситель для кухни 262 мм, электронный, 230V;2;1508.33
15812000;*СНЯТ*HG 15 812 000 PuraVida Смеситель для кухни 262 мм, на 2 отверстия;2;572.08
15812800;*СНЯТ*HG 15 812 800 PuraVida Смеситель для кухни 262 мм, на 2 отверстия, нержавейка;2;572.08
15830000;*СНЯТ*HG 15 830 000 Mondial Allegra Classica Смеситель для кухни 220 мм;1;444.0
15930180;HG 15 930 180 Скрытая часть переключателя Quattro, ¾;9;229.78
15932000;HG 15 932 000 Trio/Quattro S Запорный/переключающий вентиль Ø110 мм (внешняя монтажная часть);9;111.9
15961000;*СНЯТ*HG 15 961 000 Запорный вентиль Classic (внешняя монтажная часть);1;55.27
15970180;HG 15 970 180 Скрытая часть запорного вентиля, шпиндельная, ¾, 130 л/мин;10;82.88
15971000;*СНЯТ*HG 15 971 000 Запорный вентиль E (внешняя монтажная часть);1;444.0
15971810;*СНЯТ*HG 15 971 810 Запорный вентиль E (внешняя монтажная часть);1;444.0
15972000;HG 15 972 000 Запорный вентиль S (внешняя монтажная часть);7;83.65
15973180;HG 15 973 180 Скрытая часть запорного вентиля, шпиндельная, ½, 52 л/мин;2;76.22
15974180;HG 15 974 180 Скрытая часть запорного вентиля, керамическая, ½, 40 л/мин;10;79.22
15978000;HG 15 978 000 PuraVida Запорный вентиль (внешняя монтажная часть);10;128.8
15978400;HG 15 978 400 PuraVida Запорный вентиль (внешняя монтажная часть);1;130.07
15981180;HG 15 981 180 Скрытая часть запорного/переключающего вентиля Trio Universal, ¾;10;150.44
16320820;AX 16 320 820 Montreux Ручной душ Ø100 мм, 1 режим;2;324.21
16325000;AX 16 325 000 Montreux Кронштейн;1;108.1
16325820;AX 16 325 820 Montreux Кронштейн;6;162.15
16502000;AX 16 502 000 Montreux Смеситель для раковины 211 мм, керамика, со сливным гарнитуром;1;647.67
16515000;AX 16 515 000 Montreux Смеситель для раковины 98 мм, со сливным гарнитуром;2;493.1
16517000;AX 16 517 000 Montreux Смеситель для раковины 209 мм, со сливным гарнитуром;1;554.63
16520000;AX 16 520 000 Montreux Смеситель для биде;1;647.67
16526000;AX 16 526 000 Montreux Смеситель для биде, со сливным гарнитуром;1;493.1
16526820;AX 16 526 820 Montreux Смеситель для биде, со сливным гарнитуром;1;739.55
16532000;AX 16 532 000 Montreux Смеситель для раковины 165-225 мм, выдв. излив, на 3 отв., настен. вмч;3;663.69
16532820;AX 16 532 820 Montreux Смеситель для раковины 165-225 мм выдвижной излив, на 3 отв., настен. вмч;1;995.49
16535820;AX 16 535 820 Montreux Смеситель для раковины 30 мм, на 3 отв., со сливным гарнитуром, Комплект;5;1072.49
16540000;AX 16 540 000 Montreux Смеситель для ванны с душевым набором;1;1235.49
16541000;AX 16 541 000 Montreux Излив для ванны 166-220 мм, ½ + переходник на ¾;1;251.95
16541820;AX 16 541 820 Montreux Излив для ванны 166-220 мм, ½ + переходник на ¾;1;378.07
16547820;AX 16 547 820 Montreux Смеситель для ванны, напольный (внешняя монтажная часть);1;4191.34
16551000;AX 16 551 000 Montreux Смеситель для ванны, с душевым набором;1;1235.49
16551820;AX 16 551 820 Montreux Смеситель для ванны, с душевым набором;1;1853.39
16801000;AX 16 801 000 Montreux Термостат для 2х потребителей (внешняя монтажная часть);1;838.45
16802820;*СНЯТ*AX 16 802 820 Montreux Смеситель для кухни 244 мм (шлиф.никель);3;439.64
16820000;AX 16 820 000 Montreux Термостат для 2х потребитетелей (внешняя монтажная часть);5;925.88
16821820;AX 16 821 820 Montreux Термостат для 2х потр. (внешняя монтажная часть);1;1388.84
16830000;AX 16 830 000 Montreux Запорный/переключающий вентиль Trio/Quattro (внешняя монтажная часть);1;269.97
16871000;AX 16 871 000 Montreux Запорный вентиль (внешняя монтажная часть);1;165.85
16872000;AX 16 872 000 Montreux Запорный вентиль с рычаговой рукояткой (внешняя монтажная часть);1;165.85
16882000;AX 16 882 000 Montreux Fixfit Шланговое подсоединение с рег. напора воды, с обр. клап, ½;1;253.29
16883000;AX 16 883 000 Montreux Fixfit Шланговое подсоединение с рег. напора воды, с обр. клап, ½;1;253.29
16884000;AX 16 884 000 Montreux Fixfit Шланговое подключение, металл, обратный клапан, ½;2;43.33
16884820;AX 16 884 820 Montreux Шланговое подключение с обратным клапаном, ½;6;64.96
16930180;HG 16 930 180 Скрытая часть переключателя Quattro, 3 потребителя, ¾, 65 л/мин;2;295.96
16974180;AX 16 974 180 скрытая часть запорного вентиля 40л/мин;1;0
16982180;AX 16 982 180 скрытая часть запорного вентиля 65л/мин;1;0
17010000;AX 17 010 000 Carlton Смеситель для раковины 70 мм, со сливным гарнитуром;1;555.97
17010090;AX 17 010 090 Carlton Смеситель для раковины 70 мм, со сливным гарнитуром;1;672.22
17032000;AX 17 032 000 Carlton Смеситель для раковины 56 мм, со сливным гарнитуром;1;538.04
17210000;AX 17 210 000 Carlton Смеситель для биде, со сливным гарнитуром;2;555.97
17241000;AX 17 241 000 Carlton Термостат для ванны;1;593.72
17410000;AX 17 410 000 Carlton Смеситель для ванны;2;687.6
17410090;AX 17 410 090 Carlton Смеситель для ванны;1;808.87
17430000;*СНЯТ*AX 17 430 000 Carlton Смеситель для ванны;2;608.43
17430840;*СНЯТ*AX 17 430 840 Carlton Смеситель для ванны;1;0
17610000;*СНЯТ*AX 17 610 000 Carlton Смеситель для душа;1;490.58
17630810;*СНЯТ*AX 17 630 810 Carlton Смеситель для душа;1;0
17716000;*СНЯТ 18*AX 17 716 000 Carlton Термостат центальный Highflow 59 л/мин (внешняя монтажная часть);1;720.79
17850000;*СНЯТ*AX 17 850 000 Carlton Ручной душ;1;444.0
17883000;AX 17 883 000 Carlton Fixfit Stop Шланговое подключение с запорным вентилем и обр. клапаном;1;231.67
17965090;*СНЯТ 18*AX 17 965 090 Carlton Запорный вентиль с крестовой рукояткой (внешняя монтажная часть);1;137.53
19010000;*СНЯТ*AX 19 010 000 Bouroullec Смеситель для раковины 176 мм, со сливным гарнитуром;1;339.05
19210000;*СНЯТ*AX 19 210 000 Bouroullec Смеситель для биде со сливным гарнитуром;1;339.05
19621000;*СНЯТ*AX 19 621 000 Bouroullec Смеситель для душа (внешняя монтажная часть);1;257.26
21327000;HG 21 327 000 ВАННА Pharo® Whirlpool Victoria 325;1;6000.0
24001400;HG 24 001 400 Rainmaker Select Верхний душ 586х258 мм, 3 режима (внешняя монтажная часть);3;2223.07
24002400;HG 24 002 400 Rainmaker Select Верхний душ 460х270 мм, 1 реж., потол. кроншт. 100 мм (внеш. м.ч);1;1313.73
24004400;HG 24 004 400 Rainmaker Select Верхний душ 460х270 мм, 2 реж., потол. кроншт 100 мм, (вн. м. ч);1;1718.01
24005600;HG 24 005 600 Rainmaker Select Верхний душ 460х300 мм, 2 реж., бок. кроншт. 460 мм, (внеш. м. ч);1;1819.01
24010180;HG 24 010 180 Скрытая часть для Rainmaker Select 460 с потолочным подсоединением;2;202.17
24011400;HG 24 011 400 Rainmaker Select Верхний душ 560х260 мм, 3 режима, EcoSmart (внешняя монт. часть);1;2083.95
26014000;HG 26 014 000 Raindance Select S Ручной душ Ø120 мм, 3 режима, P;10;79.92
26050990;AX 26 050 990 ShowerSolutions Ручной душ Ø120 мм, 3 режима, 15 л/мин;2;170.82
26220000;HG 26 220 000 Croma Верхний душ Ø280 мм, 1 режим RainAir, 15 л/мин, ½;2;291.27
26250000;HG 26 250 000 Raindance E Верхний душ 300х300 мм, 1 режим, с потол. кроншт. 100 мм, ½;3;463.96
26252000;HG 26 252 000 Raindance E Верхний душ 400х400 мм, 1 режим RainAir (внешняя монтажная часть);3;748.37
26253000;HG 26 253 000 Raindance E Верхний душ 400х400 мм, 1 режим RainAir (внеш. монт. часть), EcoSmart;1;701.5
26254180;HG 26 254 180 Raindance Скрытая часть верхнего душа 400х400 мм, ½;10;109.74
26320000;HG 26 320 000 RD Sel.S 120/U'Comfort 65 душ-й набор;4;233.49
26320400;HG 26 320 400 RD Sel.S 120/U'Comfort 65 душ-й набор;7;233.49
26321000;HG 26 321 000 RD Sel.S 120 EcoS./U'Comf.душ-й набор;1;233.19
26321400;HG 26 321 400 RD Sel.S 120 EcoS./U'Comf.душ-й набор;1;233.19
26322000;HG 26 322 000 RD Sel.S 120/U'Comfort 90 душ-й набор;10;242.85
26322400;HG 26 322 400 RD Sel.S 120/U'Comfort 90 душ-й набор;8;245.34
26323000;HG 26 323 000 Raindance Select S Душевой гарнитур L=900 мм, Ø120 мм, 3 режима, EcoSmart;1;242.85
26324400;HG 26 324 400 RD Select S120/U'Comfort душ-й набор;1;340.11
26326000;HG 26 326 000 Raindance Select S Душевой гарнитур L=1100 мм, Ø120 мм, 3 реж., с полочкой, правый;2;340.48
26326400;HG 26 326 400 RD Sel.S 120/U'Comfort 110душ-й набор;4;343.14
26328400;HG 26 328 400 Comfort m.Porter поручень+полочка;7;119.58
26329000;HG 26 329 000 Unica Comfort Подставка для ног нескользящая, металл;9;129.61
26330400;HG 26 330 400 Crometta Ручной душ Vario Ø100 мм, 2 режима, 14 л/мин;5;17.41
26331400;HG 26 331 400 Crometta Ручной душ Ø100 мм, 1 режим, 14 л/мин;9;16.37
26332400;HG 26 332 400 Crometta Ручной душ Vario Ø100, 2 режима, EcoSmart;8;19.33
26333400;HG 26 333 400 Crometta Ручной душ Ø100 мм, 1 режим, EcoSmart;1;18.48
26410400;HG 26 410 400 Croma Select S Душевой набор Ø110 мм, 1 режим, шланг 1,6 м;1;54.94
26411400;HG 26 411 400 Croma Select S Душевой набор Vario Ø110 мм, 3 режима, шланг 1,6 м, 15 л/мин;4;60.08
26412400;HG 26 412 400 Croma Select E Душевой набор Ø110 мм, 1 режим, шланг 1,6 м, 16 л/мин;1;54.94
26413400;HG 26 413 400 Croma Select E Душевой набор Vario Ø100 мм, 3 режима, 1,6 м, 15 л/мин;10;57.87
26421400;HG 26 421 400 Croma Select S Душевой набор Vario Ø110 мм, 3 режима, шланг 1,25 м, 15 л/мин;5;57.9
26425400;HG 26 425 400 Croma Select E Душевой набор Vario Ø110 мм, 3 режима, шланг 1250 мм;2;55.8
26442000;HG 26 442 000 Raindance Rainfall Каскадный верхний душ, ширина потока 150 мм, вылет 156 мм, ½;10;227.55
26443000;HG 26 443 000 Raindance Rainfall Каскадный верхний душ, Stream, ширина потока 150 мм, ½;3;229.59
26456400;HG 26 456 400 Fixfit со встроенной функцией держателя, с клапаном обраттного тока;3;129.53
26457000;HG 26 457 000 Fixfit Шланговое подключение, обратный клапан, ½ (аналог 27414000 без шарнира);10;22.17
26464000;HG 26 464 000 Croma Верхний душ Ø220 мм, 1 режим RainAir, ½;7;175.24
26466000;HG 26 466 000 Raindance Select S Верхний душ Ø240 мм, 2 режима, с боковым кронштейном 390 мм, ½;10;324.75
26466400;HG 26 466 400 Raindance Select S Верхний душ Ø240 мм, 2 режима, с боковым кронштейном 390 мм, ½;7;324.75
26467400;HG 26 467 400 Raindance Select S Верхний душ Ø240 мм, 2 режима, с потолочным кроншт. 100 мм, ½;2;317.31
26468000;HG 26 468 000 Raindance Select E Верхний душ 300х190 мм, 3 реж., с бок. кроншт. 390 мм, (вн.м.ч);2;603.01
26468400;HG 26 468 400 Raindance Select E Верхний душ 300х190 мм, 3 реж., с бок. кроншт. 390 мм, (вн.м.ч);3;610.69
26469000;HG 26 469 000 Raindance Select S Верхний душ Ø240 мм, 2 реж., EcoSmart, потол. кроншт. 100 мм, ½;10;296.73
26469400;HG 26 469 400 Raindance Select S Верхний душ Ø240 мм, 2 реж., EcoSmart, потол. кроншт. 100 мм, ½;2;288.64
26470000;HG 26 470 000 Raindance Select S Верхний душ Ø240 мм, 2 режима, боковой кронштейн 390 мм, EcoSm;1;328.07
26470400;HG 26 470 400 Raindance Select S Верхний душ Ø240 мм, 2 режима, боковой кронштейн 390 мм, EcoSm;1;328.07
26471180;HG 26 471 180 Raindance Скрытая часть верхнего душа 260х260 мм, ½;8;80.09
26472000;HG 26 472 000 Raindance Верхний душ 260х260 мм, 1 режим RainAir (внешняя монтажная часть);6;333.03
26473000;HG 26 473 000 Croma 100 Душевой набор с термостатом, Ø160/100 мм, 1/4 режима;3;724.32
26481000;HG 26 481 000 Raindance Верхний душ 260х260 мм, 1 режим RainAir, (внешняя монтажная часть),EcoSm;3;328.45
26485000;HG 26 485 000 Держатель Fixfit Porter E;10;70.09
26486000;HG 26 486 000 Fixfit Square Шланговое подключение с держателем ручного душа;10;70.09
26487000;HG 26 487 000 Держатель Fixfit Porter S;10;70.09
26504000;HG 26 504 000 Unica Душевая штанга Croma L=900 мм, шланг 1,6 м;3;61.09
26511000;HG 26 511 000 Raindance Мыльница Casetta' E;1;57.95
26511400;HG 26 511 400 Raindance Мыльница Casetta' E;4;57.95
26511600;HG 26 511 600 Raindance Мыльница Casetta' E;2;57.95
26519000;HG 26 519 000 Casetta E Мыльница со сменными вставками под штанги Ø18 22 25 мм;6;16.91
26520000;HG 26 520 000 Raindance Select E Ручной душ Ø120 мм, 3 режима, 15 л/мин;10;69.16
26520400;HG 26 520 400 Raindance Select E Ручной душ Ø120 мм, 3 режима, 15 л/мин;10;69.16
26521400;HG 26 521 400 Raindance Select E Ручной душ Ø120 мм, 3 режима, EcoSmart;2;69.16
26522000;HG 26 522 000 Croma Select S Верхний душ Ø180 мм, 2 режима, пластик, ½;7;186.12
26522400;HG 26 522 400 Croma Select S Верхний душ Ø180 мм, 2 режима, пластик, ½;8;186.12
26523000;HG 26 523 000 Croma Select S Верхний душ Ø180 мм, 2 режима, пластик, ½, EcoSmart;4;174.47
26523400;HG 26 523 400 Croma Select S Верхний душ Ø180 мм, 2 режима, пластик, ½, EcoSmart;10;174.47
26524000;HG 26 524 000 Croma Select E Верхний душ 180х180 мм, 2 режима, пластик, ½;6;186.12
26524400;HG 26 524 400 Croma Select E Верхний душ 180х180 мм, 2 режима, пластик, ½;3;186.12
26528000;HG 26 528 000 Croma Select E Верхний душ 180х180 мм, 2 режима, пластик, ½, EcoSmart;2;174.47
26528400;HG 26 528 400 Croma Select E Верхний душ 180х180 мм, 2 режима, пластик, ½, EcoSmart;6;174.47
26530000;HG 26 530 000 Raindance Select S Ручной душ Ø120 мм, 3 режима, 15 л/мин;10;69.16
26530400;HG 26 530 400 Raindance Select S Ручной душ Ø120 мм, 3 режима, 15 л/мин;10;69.16
26531000;HG 26 531 000 Raindance Select S Ручной душ Ø120 мм, 3 режима, EcoSmart;5;69.16
26531400;HG 26 531 400 Raindance Select S Ручной душ Ø120 мм, 3 режима, EcoSmart;8;70.03
26532400;HG 26 532 400 Crometta Душевой гарнитур Vario L=650 мм, Ø100 мм, 2 режима, 14 л/мин;10;42.6
26533400;HG 26 533 400 Crometta Душевой гарнитур L=650 мм, Ø100 мм, 1 режим, 14 л/мин;10;40.58
26534400;HG 26 534 400 Crometta Душевой гарнитур Vario L=650 мм, Ø100 мм, 2 режима, EcoSmart;1;44.59
26536400;HG 26 536 400 Crometta Душевой гарнитур Vario L=900 мм, Ø100 мм, 2 режима, 14 л/мин;1;47.49
26537400;HG 26 537 400 Crometta Душевой гарнитур L=900 мм, Ø100 мм, 1 режим, 14 л/мин;3;45.41
26538400;HG 26 538 400 Crometta Vario Unica душевая стойка 900mm;1;49.4
26550000;HG 26 550 000 Raindance Select E Ручной душ Ø150 мм, 3 режима, 16 л/мин;10;88.45
26550400;HG 26 550 400 Raindance Select E Ручной душ Ø150 мм, 3 режима, 16 л/мин;10;88.45
26551000;HG 26 551 000 Raindance Select E Ручной душ Ø150 мм, 3 режима, EcoSmart;3;88.45
26551400;HG 26 551 400 Raindance Select E Ручной душ Ø150 мм, 3 режима, EcoSmart;1;88.56
26553400;HG 26 553 400 Crometta Vario Душевой гарнитур L=650 мм, Ø100 мм, 2 режима, с мыльницей;10;47.49
26554400;HG 26 554 400 Crometta Душевой гарнитур Green L=650 мм, Ø100 мм, 1 режим, 6 л/мин;10;42.6
26555400;HG 26 555 400 Crometta Душевой гарнитур Vario Green L=650 мм, Ø100 мм, 2 режима, 6 л/мин;4;44.59
26560400;HG 26 560 400 Croma Select S Душевой гарнитур Multi L=600 мм, Ø110 мм, 3 режима, 16 л/мин;10;88.47
26561400;HG 26 561 400 Croma Select S Душевой гарнитур Multi L=600 мм, Ø110 мм, 3 режима, EcoSmart;1;88.47
26562400;HG 26 562 400 Croma Select S Душевой гарнитур Vario L=625 мм, Ø110 мм, 3 режима;10;77.61
26563400;HG 26 563 400 Croma Select S Душевой гарнитур Vario L=625 мм, Ø110 мм, 3 режима, EcoSmart;1;77.61
26564400;HG 26 564 400 Croma Select S Душевой гарнитур L=600 мм, Ø110 мм, 1 режим, 16 л/мин;5;71.71
26566400;HG 26 566 400 Croma Select S Душевой гарнитур Vario L=625 мм, Ø110 мм, 3 реж., с мыльн. Casetta;3;86.48
26568400;HG 26 568 400 Crometta Душевой набор, Ø100 мм, 1 режим, шланг 1,25 м, EcoSmart;2;30.63
26569400;HG 26 569 400 Crometta Душевой набор, Ø100 мм, 1 режим, шланг 1,6 м, EcoSmart;3;32.55
